1,5902,151,1922,7913,131,467
2,663,4987,3467,95,1277,126
3,1307,1768,6895,8013,1058,3566
4,811,6762,2262,501,4925,7407
5,8724,8046,1247,78,5491,6690
6,4909,8708,1721,1729,6763,4761
7,3467,88,467,6328,1512,6895
8,3566,4925,6762,151,131,8013
9,1768,4987,811,6690,126,7407
10,7913,8046,95,1277,1721,5491
11,78,1729,1058,663,6328,6763
12,4761,4909,1307,8724,2262,88
13,1247,8708,1922,1512,501,5902
14,467,95,811,4987,3566,8046
15,6762,6690,1729,663,1058,126
16,4909,1768,5491,3467,6328,151
17,4761,7913,501,1277,1307,6763
18,1512,8724,1922,1721,8013,78
19,1247,131,7407,6895,8708,88
20,6690,5902,663,2262,4925,151
21,126,811,3566,4909,7913,6328
22,501,6762,8046,1922,4761,1768
23,131,1058,1307,1277,3467,78
24,8724,7407,4987,1729,1247,1512
25,4925,8013,6763,95,88,5491
26,2262,6895,1721,8708,5902,467
27,6690,1922,1307,663,4909,151
28,131,3566,1277,126,8724,4761
29,8013,501,1729,95,78,6328
30,1721,88,7913,3467,1058,4925
31,1512,811,8708,5491,1247,2262
32,6763,6762,4987,8046,6895,5902
33,467,126,4909,7407,78,1768
34,3566,4761,6690,1729,1922,88
35,151,95,1721,811,1307,1247
36,2262,501,663,1058,4987,7913
37,1277,467,1768,6762,8013,6895
38,5491,3467,1512,5902,4925,8724
39,8708,7407,6328,8046,6763,131
40,3566,151,1729,78,4987,501
41,88,4909,1247,6762,467,1058
42,5902,1768,2262,1721,811,8724
43,4925,6328,126,1922,1277,8046
44,6763,6895,95,131,6690,1512
45,4761,8708,3467,8013,7913,663
46,5491,7407,5902,501,1721,1307
47,88,6328,1058,8724,151,6762
48,2262,1512,1277,4909,6763,3566
49,8046,1768,6690,7913,1729,8708
50,78,1922,6895,7407,95,3467
51,1247,467,8013,811,663,4761
52,4987,126,131,5491,1307,4925
53,6690,4909,1058,501,3566,8708
54,7407,1729,1277,1768,3467,7913
55,88,8046,1512,467,663,1922
56,151,126,6763,5902,811,8013
57,6328,5491,6762,4761,1721,4987
58,1307,8724,78,1247,6895,4925
59,95,1922,501,131,2262,4909
60,1058,6763,7407,151,467,8046
61,3566,663,5491,126,5902,88
62,6895,8724,3467,811,7913,4925
63,6328,4761,1277,1721,6690,1247
64,1307,1512,95,6762,78,8708
65,4987,2262,8013,1768,1729,131
66,1058,5491,8724,1922,7407,811
67,3467,1721,126,467,501,6690
68,7913,78,151,1512,6762,4761
69,8046,8013,6328,1307,2262,3566
70,4987,5902,1729,6895,1277,4909
71,4925,663,131,6763,1247,1768
72,88,151,501,8708,95,8724
73,1922,3566,7913,7407,1307,467
74,6895,5491,811,1729,8046,4909
75,6328,131,1721,1768,1512,663
76,1058,4761,5902,8013,6690,95
77,4925,88,78,8708,1277,4987
78,126,1247,6762,6763,3467,2262
